Series Name,Series Code,Country Name,Country Code,2022 [YR2022]
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,"Iran, Islamic Rep.",IRN,31.25
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,Iraq,IRQ,48.125
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,Ireland,IRL,100
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,Isle of Man,IMN,..
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,Israel,ISR,80.625
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,Italy,ITA,97.5
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,Japan,JPN,78.75
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,Jordan,JOR,46.875
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,Kazakhstan,KAZ,75.625
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,Kiribati,KIR,76.25
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,"Korea, Dem. People's Rep.",PRK,..
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,"Korea, Rep.",KOR,88.125
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,Kosovo,XKX,91.875
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,Kuwait,KWT,38.125
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,Kyrgyz Republic,KGZ,76.875
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,Lao PDR,LAO,85.625
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,Latvia,LVA,100
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,Lebanon,LBN,58.75
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,Libya,LBY,50
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,Liechtenstein,LIE,..
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,Lithuania,LTU,93.75
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,Luxembourg,LUX,100
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,"Macao SAR, China",MAC,..
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,Malaysia,MYS,50
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,Maldives,MDV,73.75
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,Malta,MLT,91.25
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,Marshall Islands,MHL,65.625
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,"Micronesia, Fed. Sts.",FSM,61.25
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,Moldova,MDA,87.5
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,Monaco,MCO,..
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,Mongolia,MNG,90.625
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,Montenegro,MNE,85
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,Morocco,MAR,75.625
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,Myanmar,MMR,58.75
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,Nauru,NRU,..
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,Nepal,NPL,80.625
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,Netherlands,NLD,100
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,New Caledonia,NCL,..
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,New Zealand,NZL,97.5
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,North Macedonia,MKD,85
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,Northern Mariana Islands,MNP,..
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,Norway,NOR,96.875
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,Oman,OMN,35.625
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,Pakistan,PAK,58.75
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,Palau,PLW,56.25
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,Papua New Guinea,PNG,60
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,Philippines,PHL,78.75
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,Poland,POL,93.75
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,Portugal,PRT,100
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,Qatar,QAT,29.375
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,Romania,ROU,90.625
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,Russian Federation,RUS,73.125
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,Samoa,WSM,75
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,San Marino,SMR,85
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,Saudi Arabia,SAU,71.25
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,Serbia,SRB,93.75
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,Singapore,SGP,82.5
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,Slovak Republic,SVK,85
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,Slovenia,SVN,96.875
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,Solomon Islands,SLB,56.875
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,Spain,ESP,100
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,Sri Lanka,LKA,65.625
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,Sweden,SWE,100
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,Switzerland,CHE,88.125
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,Syrian Arab Republic,SYR,40
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,Tajikistan,TJK,78.75
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,Thailand,THA,78.125
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,Timor-Leste,TLS,86.25
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,Tonga,TON,58.75
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,Tunisia,TUN,64.375
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,Turkiye,TUR,82.5
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,Turkmenistan,TKM,..
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,Tuvalu,TUV,..
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,Ukraine,UKR,85
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,United Arab Emirates,ARE,82.5
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,United Kingdom,GBR,97.5
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,United States,USA,91.25
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,Uzbekistan,UZB,70.625
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,Vanuatu,VUT,55.625
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,Viet Nam,VNM,88.125
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,West Bank and Gaza,PSE,26.25
Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,"Yemen, Rep.",YEM,26.875
"Women, Business and the Law: Pay Indicator Score (scale 1-100)",SG.LAW.INDX.PY,Afghanistan,AFG,0
"Women, Business and the Law: Pay Indicator Score (scale 1-100)",SG.LAW.INDX.PY,Albania,ALB,100
"Women, Business and the Law: Pay Indicator Score (scale 1-100)",SG.LAW.INDX.PY,Algeria,DZA,50
"Women, Business and the Law: Pay Indicator Score (scale 1-100)",SG.LAW.INDX.PY,American Samoa,ASM,..
"Women, Business and the Law: Pay Indicator Score (scale 1-100)",SG.LAW.INDX.PY,Andorra,AND,..
"Women, Business and the Law: Pay Indicator Score (scale 1-100)",SG.LAW.INDX.PY,Armenia,ARM,75
"Women, Business and the Law: Pay Indicator Score (scale 1-100)",SG.LAW.INDX.PY,Australia,AUS,100
"Women, Business and the Law: Pay Indicator Score (scale 1-100)",SG.LAW.INDX.PY,Austria,AUT,100
"Women, Business and the Law: Pay Indicator Score (scale 1-100)",SG.LAW.INDX.PY,Azerbaijan,AZE,0
"Women, Business and the Law: Pay Indicator Score (scale 1-100)",SG.LAW.INDX.PY,Bahrain,BHR,100
"Women, Business and the Law: Pay Indicator Score (scale 1-100)",SG.LAW.INDX.PY,Bangladesh,BGD,25
"Women, Business and the Law: Pay Indicator Score (scale 1-100)",SG.LAW.INDX.PY,Belarus,BLR,50
"Women, Business and the Law: Pay Indicator Score (scale 1-100)",SG.LAW.INDX.PY,Belgium,BEL,100
"Women, Business and the Law: Pay Indicator Score (scale 1-100)",SG.LAW.INDX.PY,Bermuda,BMU,..
"Women, Business and the Law: Pay Indicator Score (scale 1-100)",SG.LAW.INDX.PY,Bhutan,BTN,100
"Women, Business and the Law: Pay Indicator Score (scale 1-100)",SG.LAW.INDX.PY,Bosnia and Herzegovina,BIH,50
"Women, Business and the Law: Pay Indicator Score (scale 1-100)",SG.LAW.INDX.PY,Brunei Darussalam,BRN,75
"Women, Business and the Law: Pay Indicator Score (scale 1-100)",SG.LAW.INDX.PY,Bulgaria,BGR,100
"Women, Business and the Law: Pay Indicator Score (scale 1-100)",SG.LAW.INDX.PY,Cambodia,KHM,75
"Women, Business and the Law: Pay Indicator Score (scale 1-100)",SG.LAW.INDX.PY,Canada,CAN,100
"Women, Business and the Law: Pay Indicator Score (scale 1-100)",SG.LAW.INDX.PY,Channel Islands,CHI,..
"Women, Business and the Law: Pay Indicator Score (scale 1-100)",SG.LAW.INDX.PY,China,CHN,25
"Women, Business and the Law: Pay Indicator Score (scale 1-100)",SG.LAW.INDX.PY,Croatia,HRV,100
"Women, Business and the Law: Pay Indicator Score (scale 1-100)",SG.LAW.INDX.PY,Cyprus,CYP,75
"Women, Business and the Law: Pay Indicator Score (scale 1-100)",SG.LAW.INDX.PY,Czechia,CZE,100
"Women, Business and the Law: Pay Indicator Score (scale 1-100)",SG.LAW.INDX.PY,Denmark,DNK,100
"Women, Business and the Law: Pay Indicator Score (scale 1-100)",SG.LAW.INDX.PY,Djibouti,DJI,50
"Women, Business and the Law: Pay Indicator Score (scale 1-100)",SG.LAW.INDX.PY,"Egypt, Arab Rep.",EGY,0
"Women, Business and the Law: Pay Indicator Score (scale 1-100)",SG.LAW.INDX.PY,Estonia,EST,100
"Women, Business and the Law: Pay Indicator Score (scale 1-100)",SG.LAW.INDX.PY,Faroe Islands,FRO,..
"Women, Business and the Law: Pay Indicator Score (scale 1-100)",SG.LAW.INDX.PY,Fiji,FJI,50
"Women, Business and the Law: Pay Indicator Score (scale 1-100)",SG.LAW.INDX.PY,Finland,FIN,100
"Women, Business and the Law: Pay Indicator Score (scale 1-100)",SG.LAW.INDX.PY,France,FRA,100
"Women, Business and the Law: Pay Indicator Score (scale 1-100)",SG.LAW.INDX.PY,French Polynesia,PYF,..
"Women, Business and the Law: Pay Indicator Score (scale 1-100)",SG.LAW.INDX.PY,Georgia,GEO,75
"Women, Business and the Law: Pay Indicator Score (scale 1-100)",SG.LAW.INDX.PY,Germany,DEU,100
"Women, Business and the Law: Pay Indicator Score (scale 1-100)",SG.LAW.INDX.PY,Gibraltar,GIB,..
"Women, Business and the Law: Pay Indicator Score (scale 1-100)",SG.LAW.INDX.PY,Greece,GRC,100
"Women, Business and the Law: Pay Indicator Score (scale 1-100)",SG.LAW.INDX.PY,Greenland,GRL,..
"Women, Business and the Law: Pay Indicator Score (scale 1-100)",SG.LAW.INDX.PY,Guam,GUM,..
"Women, Business and the Law: Pay Indicator Score (scale 1-100)",SG.LAW.INDX.PY,"Hong Kong SAR, China",HKG,75
"Women, Business and the Law: Pay Indicator Score (scale 1-100)",SG.LAW.INDX.PY,Hungary,HUN,75
"Women, Business and the Law: Pay Indicator Score (scale 1-100)",SG.LAW.INDX.PY,Iceland,ISL,100
"Women, Business and the Law: Pay Indicator Score (scale 1-100)",SG.LAW.INDX.PY,India,IND,25
"Women, Business and the Law: Pay Indicator Score (scale 1-100)",SG.LAW.INDX.PY,Indonesia,IDN,75
"Women, Business and the Law: Pay Indicator Score (scale 1-100)",SG.LAW.INDX.PY,"Iran, Islamic Rep.",IRN,50
"Women, Business and the Law: Pay Indicator Score (scale 1-100)",SG.LAW.INDX.PY,Iraq,IRQ,50
"Women, Business and the Law: Pay Indicator Score (scale 1-100)",SG.LAW.INDX.PY,Ireland,IRL,100
"Women, Business and the Law: Pay Indicator Score (scale 1-100)",SG.LAW.INDX.PY,Isle of Man,IMN,..
"Women, Business and the Law: Pay Indicator Score (scale 1-100)",SG.LAW.INDX.PY,Israel,ISR,50
"Women, Business and the Law: Pay Indicator Score (scale 1-100)",SG.LAW.INDX.PY,Italy,ITA,100
"Women, Business and the Law: Pay Indicator Score (scale 1-100)",SG.LAW.INDX.PY,Japan,JPN,25
"Women, Business and the Law: Pay Indicator Score (scale 1-100)",SG.LAW.INDX.PY,Jordan,JOR,75
"Women, Business and the Law: Pay Indicator Score (scale 1-100)",SG.LAW.INDX.PY,Kazakhstan,KAZ,75
"Women, Business and the Law: Pay Indicator Score (scale 1-100)",SG.LAW.INDX.PY,Kiribati,KIR,100
"Women, Business and the Law: Pay Indicator Score (scale 1-100)",SG.LAW.INDX.PY,"Korea, Dem. People's Rep.",PRK,..
"Women, Business and the Law: Pay Indicator Score (scale 1-100)",SG.LAW.INDX.PY,"Korea, Rep.",KOR,25
"Women, Business and the Law: Pay Indicator Score (scale 1-100)",SG.LAW.INDX.PY,Kosovo,XKX,100
"Women, Business and the Law: Pay Indicator Score (scale 1-100)",SG.LAW.INDX.PY,Kuwait,KWT,0
"Women, Business and the Law: Pay Indicator Score (scale 1-100)",SG.LAW.INDX.PY,Kyrgyz Republic,KGZ,25
"Women, Business and the Law: Pay Indicator Score (scale 1-100)",SG.LAW.INDX.PY,Lao PDR,LAO,75
"Women, Business and the Law: Pay Indicator Score (scale 1-100)",SG.LAW.INDX.PY,Latvia,LVA,100
"Women, Business and the Law: Pay Indicator Score (scale 1-100)",SG.LAW.INDX.PY,Lebanon,LBN,50
"Women, Business and the Law: Pay Indicator Score (scale 1-100)",SG.LAW.INDX.PY,Libya,LBY,75
"Women, Business and the Law: Pay Indicator Score (scale 1-100)",SG.LAW.INDX.PY,Liechtenstein,LIE,..
"Women, Business and the Law: Pay Indicator Score (scale 1-100)",SG.LAW.INDX.PY,Lithuania,LTU,100
"Women, Business and the Law: Pay Indicator Score (scale 1-100)",SG.LAW.INDX.PY,Luxembourg,LUX,100
"Women, Business and the Law: Pay Indicator Score (scale 1-100)",SG.LAW.INDX.PY,"Macao SAR, China",MAC,..
"Women, Business and the Law: Pay Indicator Score (scale 1-100)",SG.LAW.INDX.PY,Malaysia,MYS,50
"Women, Business and the Law: Pay Indicator Score (scale 1-100)",SG.LAW.INDX.PY,Maldives,MDV,75
"Women, Business and the Law: Pay Indicator Score (scale 1-100)",SG.LAW.INDX.PY,Malta,MLT,75
"Women, Business and the Law: Pay Indicator Score (scale 1-100)",SG.LAW.INDX.PY,Marshall Islands,MHL,100
"Women, Business and the Law: Pay Indicator Score (scale 1-100)",SG.LAW.INDX.PY,"Micronesia, Fed. Sts.",FSM,75
"Women, Business and the Law: Pay Indicator Score (scale 1-100)",SG.LAW.INDX.PY,Moldova,MDA,100
"Women, Business and the Law: Pay Indicator Score (scale 1-100)",SG.LAW.INDX.PY,Monaco,MCO,..
"Women, Business and the Law: Pay Indicator Score (scale 1-100)",SG.LAW.INDX.PY,Mongolia,MNG,100
"Women, Business and the Law: Pay Indicator Score (scale 1-100)",SG.LAW.INDX.PY,Montenegro,MNE,50
"Women, Business and the Law: Pay Indicator Score (scale 1-100)",SG.LAW.INDX.PY,Morocco,MAR,50
"Women, Business and the Law: Pay Indicator Score (scale 1-100)",SG.LAW.INDX.PY,Myanmar,MMR,50
"Women, Business and the Law: Pay Indicator Score (scale 1-100)",SG.LAW.INDX.PY,Nauru,NRU,..
"Women, Business and the Law: Pay Indicator Score (scale 1-100)",SG.LAW.INDX.PY,Nepal,NPL,100
"Women, Business and the Law: Pay Indicator Score (scale 1-100)",SG.LAW.INDX.PY,Netherlands,NLD,100
"Women, Business and the Law: Pay Indicator Score (scale 1-100)",SG.LAW.INDX.PY,New Caledonia,NCL,..
"Women, Business and the Law: Pay Indicator Score (scale 1-100)",SG.LAW.INDX.PY,New Zealand,NZL,100
"Women, Business and the Law: Pay Indicator Score (scale 1-100)",SG.LAW.INDX.PY,North Macedonia,MKD,50
"Women, Business and the Law: Pay Indicator Score (scale 1-100)",SG.LAW.INDX.PY,Northern Mariana Islands,MNP,..
"Women, Business and the Law: Pay Indicator Score (scale 1-100)",SG.LAW.INDX.PY,Norway,NOR,100
"Women, Business and the Law: Pay Indicator Score (scale 1-100)",SG.LAW.INDX.PY,Oman,OMN,25
"Women, Business and the Law: Pay Indicator Score (scale 1-100)",SG.LAW.INDX.PY,Pakistan,PAK,50
"Women, Business and the Law: Pay Indicator Score (scale 1-100)",SG.LAW.INDX.PY,Palau,PLW,75
"Women, Business and the Law: Pay Indicator Score (scale 1-100)",SG.LAW.INDX.PY,Papua New Guinea,PNG,25
"Women, Business and the Law: Pay Indicator Score (scale 1-100)",SG.LAW.INDX.PY,Philippines,PHL,100
"Women, Business and the Law: Pay Indicator Score (scale 1-100)",SG.LAW.INDX.PY,Poland,POL,100
"Women, Business and the Law: Pay Indicator Score (scale 1-100)",SG.LAW.INDX.PY,Portugal,PRT,100
"Women, Business and the Law: Pay Indicator Score (scale 1-100)",SG.LAW.INDX.PY,Qatar,QAT,50
"Women, Business and the Law: Pay Indicator Score (scale 1-100)",SG.LAW.INDX.PY,Romania,ROU,100
"Women, Business and the Law: Pay Indicator Score (scale 1-100)",SG.LAW.INDX.PY,Russian Federation,RUS,50
"Women, Business and the Law: Pay Indicator Score (scale 1-100)",SG.LAW.INDX.PY,Samoa,WSM,75
"Women, Business and the Law: Pay Indicator Score (scale 1-100)",SG.LAW.INDX.PY,San Marino,SMR,75
"Women, Business and the Law: Pay Indicator Score (scale 1-100)",SG.LAW.INDX.PY,Saudi Arabia,SAU,100
"Women, Business and the Law: Pay Indicator Score (scale 1-100)",SG.LAW.INDX.PY,Serbia,SRB,100
"Women, Business and the Law: Pay Indicator Score (scale 1-100)",SG.LAW.INDX.PY,Singapore,SGP,75
"Women, Business and the Law: Pay Indicator Score (scale 1-100)",SG.LAW.INDX.PY,Slovak Republic,SVK,75
"Women, Business and the Law: Pay Indicator Score (scale 1-100)",SG.LAW.INDX.PY,Slovenia,SVN,75
"Women, Business and the Law: Pay Indicator Score (scale 1-100)",SG.LAW.INDX.PY,Solomon Islands,SLB,25
"Women, Business and the Law: Pay Indicator Score (scale 1-100)",SG.LAW.INDX.PY,Spain,ESP,100
"Women, Business and the Law: Pay Indicator Score (scale 1-100)",SG.LAW.INDX.PY,Sri Lanka,LKA,25
"Women, Business and the Law: Pay Indicator Score (scale 1-100)",SG.LAW.INDX.PY,Sweden,SWE,100
"Women, Business and the Law: Pay Indicator Score (scale 1-100)",SG.LAW.INDX.PY,Switzerland,CHE,100
"Women, Business and the Law: Pay Indicator Score (scale 1-100)",SG.LAW.INDX.PY,Syrian Arab Republic,SYR,0
"Women, Business and the Law: Pay Indicator Score (scale 1-100)",SG.LAW.INDX.PY,Tajikistan,TJK,50
"Women, Business and the Law: Pay Indicator Score (scale 1-100)",SG.LAW.INDX.PY,Thailand,THA,75
"Women, Business and the Law: Pay Indicator Score (scale 1-100)",SG.LAW.INDX.PY,Timor-Leste,TLS,100
"Women, Business and the Law: Pay Indicator Score (scale 1-100)",SG.LAW.INDX.PY,Tonga,TON,75
"Women, Business and the Law: Pay Indicator Score (scale 1-100)",SG.LAW.INDX.PY,Tunisia,TUN,25
"Women, Business and the Law: Pay Indicator Score (scale 1-100)",SG.LAW.INDX.PY,Turkiye,TUR,75
"Women, Business and the Law: Pay Indicator Score (scale 1-100)",SG.LAW.INDX.PY,Turkmenistan,TKM,..
"Women, Business and the Law: Pay Indicator Score (scale 1-100)",SG.LAW.INDX.PY,Tuvalu,TUV,..
"Women, Business and the Law: Pay Indicator Score (scale 1-100)",SG.LAW.INDX.PY,Ukraine,UKR,0
"Women, Business and the Law: Pay Indicator Score (scale 1-100)",SG.LAW.INDX.PY,United Arab Emirates,ARE,100
"Women, Business and the Law: Pay Indicator Score (scale 1-100)",SG.LAW.INDX.PY,United Kingdom,GBR,100
"Women, Business and the Law: Pay Indicator Score (scale 1-100)",SG.LAW.INDX.PY,United States,USA,75
"Women, Business and the Law: Pay Indicator Score (scale 1-100)",SG.LAW.INDX.PY,Uzbekistan,UZB,25
"Women, Business and the Law: Pay Indicator Score (scale 1-100)",SG.LAW.INDX.PY,Vanuatu,VUT,50
"Women, Business and the Law: Pay Indicator Score (scale 1-100)",SG.LAW.INDX.PY,Viet Nam,VNM,100
"Women, Business and the Law: Pay Indicator Score (scale 1-100)",SG.LAW.INDX.PY,West Bank and Gaza,PSE,0
"Women, Business and the Law: Pay Indicator Score (scale 1-100)",SG.LAW.INDX.PY,"Yemen, Rep.",YEM,25
"Women, Business and the Law: Workplace Indicator Score (scale 1-100)",SG.LAW.INDX.WP,Afghanistan,AFG,50
"Women, Business and the Law: Workplace Indicator Score (scale 1-100)",SG.LAW.INDX.WP,Albania,ALB,100
"Women, Business and the Law: Workplace Indicator Score (scale 1-100)",SG.LAW.INDX.WP,Algeria,DZA,75
"Women, Business and the Law: Workplace Indicator Score (scale 1-100)",SG.LAW.INDX.WP,American Samoa,ASM,..
"Women, Business and the Law: Workplace Indicator Score (scale 1-100)",SG.LAW.INDX.WP,Andorra,AND,..
"Women, Business and the Law: Workplace Indicator Score (scale 1-100)",SG.LAW.INDX.WP,Armenia,ARM,50
"Women, Business and the Law: Workplace Indicator Score (scale 1-100)",SG.LAW.INDX.WP,Australia,AUS,100
"Women, Business and the Law: Workplace Indicator Score (scale 1-100)",SG.LAW.INDX.WP,Austria,AUT,100
"Women, Business and the Law: Workplace Indicator Score (scale 1-100)",SG.LAW.INDX.WP,Azerbaijan,AZE,100
"Women, Business and the Law: Workplace Indicator Score (scale 1-100)",SG.LAW.INDX.WP,Bahrain,BHR,75
"Women, Business and the Law: Workplace Indicator Score (scale 1-100)",SG.LAW.INDX.WP,Bangladesh,BGD,50
"Women, Business and the Law: Workplace Indicator Score (scale 1-100)",SG.LAW.INDX.WP,Belarus,BLR,50
"Women, Business and the Law: Workplace Indicator Score (scale 1-100)",SG.LAW.INDX.WP,Belgium,BEL,100
"Women, Business and the Law: Workplace Indicator Score (scale 1-100)",SG.LAW.INDX.WP,Bermuda,BMU,..
"Women, Business and the Law: Workplace Indicator Score (scale 1-100)",SG.LAW.INDX.WP,Bhutan,BTN,100
"Women, Business and the Law: Workplace Indicator Score (scale 1-100)",SG.LAW.INDX.WP,Bosnia and Herzegovina,BIH,100
"Women, Business and the Law: Workplace Indicator Score (scale 1-100)",SG.LAW.INDX.WP,Brunei Darussalam,BRN,25
"Women, Business and the Law: Workplace Indicator Score (scale 1-100)",SG.LAW.INDX.WP,Bulgaria,BGR,100
"Women, Business and the Law: Workplace Indicator Score (scale 1-100)",SG.LAW.INDX.WP,Cambodia,KHM,100
"Women, Business and the Law: Workplace Indicator Score (scale 1-100)",SG.LAW.INDX.WP,Canada,CAN,100
"Women, Business and the Law: Workplace Indicator Score (scale 1-100)",SG.LAW.INDX.WP,Channel Islands,CHI,..
"Women, Business and the Law: Workplace Indicator Score (scale 1-100)",SG.LAW.INDX.WP,China,CHN,100
